"Qty";"Value";"Device";"Package";"Parts";"Description";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"LEAD_FREE";"MANUFACTURER";"MF";"MFG_PACKAGE_IDENT";"MOUSER_PART_NUMBER";"MPN";"PACKAGE";"PART_REV";"PREFIX";"PROD_ID";"ROHS";"SF_SKU";"SPICEMODEL";"SPICEPREFIX";"STANDARD";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VOLTAGE";
"5";"3.3k";"R-US_M0805";"M0805";"R1, R2, R3, R4, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3352P-1-103LF";"3352P-1-103LF";"3352P-1-103LF";"VOL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"340K";"R-US_R0805";"R0805";"R40";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"390";"R-US_M0805";"M0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470pF";"C-USC0805";"C0805";"C4";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"47Pf";"C-USC0805";"C0805";"C19, C20";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47pF";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"500k";"TRIM_US-3223G";"3223G";"BRT, COLOR";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"56k";"R-US_M0805";"M0805";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"6.8k";"R-US_M0805";"M0805";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
